K,group,route,t0_s,t1_s,q3_provider,relay_task,local_provider,margin_dB
2,1,6,908.258621074391,1162.7568580342,G01,,G01,1.95921317757148
2,1,6,1162.7568580342,1220.89950207717,G01,,G01,28.6970794428954
2,1,7,672.38545286357,718.826061535051,G01,,G01,29.0653920081261
2,1,7,718.826061535051,775.030964745081,G01,,G01,22.7598396645181
2,1,7,775.030964745081,1173.73886904877,R01,Q3-R01,K2-G1-R01,0.565712286578602
2,1,7,1173.73886904877,1207.35348330658,R01,Q3-R01,K2-G1-R01,3.69737873568202
2,1,7,1207.35348330658,1417.35348330658,R01,Q3-R01,K2-G1-R01,3.93530081681283
2,1,7,1417.35348330658,1445.36566185476,R01,Q3-R01,K2-G1-R01,3.69737873568202
2,1,7,1445.36566185476,1675.54702248065,R01,Q3-R01,K2-G1-R01,4.33863923995723
2,1,7,1675.54702248065,1773.20666333897,G01,,G01,5.47010676311211
2,1,7,1773.20666333897,1844.07356615844,G01,,G01,11.4779930754727
2,1,7,1844.07356615844,1967.24818041625,G01,,G01,22.1765507746816
2,1,9,3051.42681562808,3099.87901899722,G01,,G01,28.6970794428954
2,1,9,3099.87901899722,3108.86527227216,G01,,G01,25.8962450038347
2,1,9,3108.86527227216,3161.50263026138,G01,,G01,14.0851731851688
2,1,9,3161.50263026138,3354.37725595703,G01,,G01,2.14537338983922
2,1,9,3354.37725595703,3389.9999,G01,,G01,2.11881910856134
2,1,9,3389.9999,3599.9999,G01,,G01,2.247841154143
2,1,9,3599.9999,3629.68543670247,G01,,G01,2.11881910856134
2,1,9,3629.68543670247,3884.18367366228,G01,,G01,1.95921317757148
2,1,9,3884.18367366228,3942.32631770525,G01,,G01,28.6970794428954
2,1,10,1205.96483972278,1266.38292443957,G01,,G01,26.7800109952677
2,1,10,1266.38292443957,1470.96497346011,G01,,G01,1.87581319314671
2,1,10,1470.96497346011,1573.25599797038,R01,Q3-R01,K2-G1-R01,0.458168825139524
2,1,10,1573.25599797038,1624.40151022551,R01,Q3-R01,K2-G1-R01,0.392126104215237
2,1,10,1624.40151022551,1649.97426635308,R01,Q3-R01,K2-G1-R01,0.240286726328108
2,1,10,1649.97426635308,1662.76064441687,R01,Q3-R01,K2-G1-R01,0.141651019404307
2,1,10,1662.76064441687,1669.15383344876,R01,Q3-R01,K2-G1-R01,0.0875229137746771
2,1,10,1669.15383344876,1675.54702248065,R01,Q3-R01,K2-G1-R01,0.00420634427008792
2,1,10,1675.54702248065,1760.47028811182,R02,Q3-R02,K2-G1-R02,7.42904100991313
2,1,10,1760.47028811182,1773.20666333897,R02,Q3-R02,K2-G1-R02,8.54799686624557
2,1,10,1773.20666333897,1796.25198977198,R02,Q3-R02,K2-G1-R02,8.49028606538083
2,1,10,1796.25198977198,2006.25198977198,R02,Q3-R02,K2-G1-R02,8.58969544764825
2,1,10,2006.25198977198,2036.07007448878,R02,Q3-R02,K2-G1-R02,8.43471562018644
2,1,10,2036.07007448878,2283.11375632488,R02,Q3-R02,K2-G1-R02,3.09374341779245
2,1,10,2283.11375632488,2530.15743816099,G01,,G01,0.277360399710858
2,1,10,2530.15743816099,2602.65913982114,G01,,G01,26.7800109952677
2,1,11,2312.25901412354,2368.1462659139,G01,,G01,27.4570949900334
2,1,11,2368.1462659139,2602.15245197061,G01,,G01,2.64660268261862
2,1,11,2602.15245197061,2635.45715411905,G01,,G01,2.84274166465613
2,1,11,2635.45715411905,2815.45715411905,G01,,G01,2.97531985376901
2,1,11,2815.45715411905,2891.14893878702,G01,,G01,2.60983234053241
2,1,11,2891.14893878702,3108.86527227216,R02,Q3-R02,K2-G1-R02,0.133721969887148
2,1,11,3108.86527227216,3127.31797849971,R01,Q3-R03,K2-G1-R01,4.00954934485762
2,1,11,3127.31797849971,3161.50263026138,R01,Q3-R03,K2-G1-R01,3.89122234247587
2,1,11,3161.50263026138,3163.58812010127,R01,Q3-R03,K2-G1-R01,4.15888273319932
2,1,11,3163.58812010127,3343.58812010127,R01,Q3-R03,K2-G1-R01,4.1760073314011
2,1,11,3343.58812010127,3398.07917845088,R01,Q3-R03,K2-G1-R01,3.61938804937449
2,1,11,3398.07917845088,3775.95089235212,R01,Q3-R03,K2-G1-R01,2.49346836753311
2,1,11,3775.95089235212,3929.66016237165,G01,,G01,20.2529737910729
2,1,12,2640.72744160904,2785.42882100357,G01,,G01,19.1938966486376
2,1,12,2785.42882100357,2947.14704663787,G01,,G01,3.18966542594336
2,1,12,2947.14704663787,3028.00615945501,G01,,G01,0.551150622150189
2,1,12,3028.00615945501,3068.43571586358,R02,Q3-R02,K2-G1-R02,0.191806872894844
2,1,12,3068.43571586358,3088.65049406787,R02,Q3-R02,K2-G1-R02,0.225479369143045
2,1,12,3088.65049406787,3108.86527227216,R02,Q3-R02,K2-G1-R02,0.0656777465776202
2,1,12,3108.86527227216,3161.50263026138,R01,Q3-R03,K2-G1-R01,8.42697449740466
2,1,12,3161.50263026138,3269.64077144077,R01,Q3-R03,K2-G1-R01,3.8577347132254
2,1,12,3269.64077144077,3358.9624267142,R01,Q3-R03,K2-G1-R01,3.75529719651702
2,1,12,3358.9624267142,3598.9624267142,R01,Q3-R03,K2-G1-R01,3.99762295151061
2,1,12,3598.9624267142,3673.39713944207,R01,Q3-R03,K2-G1-R01,3.75529719651702
2,1,12,3673.39713944207,3915.50311466061,R01,Q3-R03,K2-G1-R01,3.60381085021034
2,1,12,3915.50311466061,4157.60908987915,G01,,G01,9.93702786276152
2,1,12,4157.60908987915,4331.25074515259,G01,,G01,19.1938966486376
2,1,15,1554.16907732905,1612.31172137202,G01,,G01,28.6970794428954
2,1,15,1612.31172137202,1675.54702248065,G01,,G01,11.7093957561438
2,1,15,1675.54702248065,1773.20666333897,G01,,G01,4.20473023251847
2,1,15,1773.20666333897,1815.91031093987,G01,,G01,2.21668758615168
2,1,15,1815.91031093987,1860.43861599358,G01,,G01,2.11881910856134
2,1,15,1860.43861599358,2112.43861599358,G01,,G01,2.247841154143
2,1,15,2112.43861599358,2162.5365530053,G01,,G01,2.06590232346241
2,1,15,2162.5365530053,2453.24305561523,R02,Q3-R02,K2-G1-R02,1.93094688410247
2,1,15,2453.24305561523,2498.11547687988,R02,Q3-R02,K2-G1-R02,8.43420644323835
2,1,15,2498.11547687988,2894.11547687988,R02,Q3-R02,K2-G1-R02,8.58969544764825
2,1,15,2894.11547687988,2929.89717854003,R02,Q3-R02,K2-G1-R02,8.43471562018644
2,1,15,2929.89717854003,3108.86527227216,R02,Q3-R02,K2-G1-R02,5.00704939024411
2,1,15,3108.86527227216,3161.50263026138,R02,Q3-R02,K2-G1-R02,7.53770515162761
2,1,15,3161.50263026138,3423.98454221224,R01,Q3-R03,K2-G1-R01,0.373723419765184
2,1,15,3423.98454221224,3514.61166928744,G01,,G01,26.7800109952677
2,1,17,3724.61166928744,3878.32093930697,G01,,G01,20.2529737910729
2,1,17,3878.32093930697,4180.61831042798,R01,Q3-R03,K2-G1-R01,2.49346836753311
2,1,17,4180.61831042798,4262.35489795239,R01,Q3-R03,K2-G1-R01,3.61938804937449
2,1,17,4262.35489795239,4514.35489795239,R01,Q3-R03,K2-G1-R01,4.1760073314011
2,1,17,4514.35489795239,4539.23463428052,R01,Q3-R03,K2-G1-R01,3.96888991577794
2,1,17,4539.23463428052,4721.51874246726,R01,Q3-R03,K2-G1-R01,3.76961865994826
2,1,17,4721.51874246726,4757.61841287742,R01,Q3-R03,K2-G1-R01,3.92003079650402
2,1,17,4757.61841287742,4852.19663204812,R01,Q3-R03,K2-G1-R01,3.99762295151061
2,1,17,4852.19663204812,5117.61841287742,R01,Q3-R03,K2-G1-R01,3.99762295151061
2,1,17,5117.61841287742,5206.94006815086,R01,Q3-R03,K2-G1-R01,3.75529719651702
2,1,17,5206.94006815086,5425.78900509904,R01,Q3-R03,K2-G1-R01,3.68343196608357
2,1,17,5425.78900509904,5544.66019542507,R01,Q3-R03,K2-G1-R01,0.394167925235152
2,1,17,5544.66019542507,5691.15201858794,G01,,G01,3.9686654679071
2,1,17,5691.15201858794,5908.20408767974,G01,,G01,19.1938966486376
2,1,18,300.000001000016,390.493942243506,G01,,G01,23.2709600060778
2,1,18,390.493942243506,554.660001889279,G01,,G01,5.19944518752634
2,1,18,554.660001889279,636.743031712165,G01,,G01,2.3927743497218
2,1,18,636.743031712165,677.784546623608,G01,,G01,1.12641886409861
2,1,18,677.784546623608,698.30530407933,G01,,G01,0.554869806644803
2,1,18,698.30530407933,708.56568280719,G01,,G01,0.28240474505904
2,1,18,708.56568280719,718.826061535051,G01,,G01,0.00814679933471041
2,1,18,718.826061535051,794.597473679265,R01,Q3-R01,K2-G1-R01,6.02746286297798
2,1,18,794.597473679265,813.590203171453,R01,Q3-R01,K2-G1-R01,7.53893838963978
2,1,18,813.590203171453,993.590203171453,R01,Q3-R01,K2-G1-R01,7.61074158074061
2,1,18,993.590203171453,1054.11030815192,R01,Q3-R01,K2-G1-R01,7.33183292393394
2,1,18,1054.11030815192,1314.72701622533,R01,Q3-R01,K2-G1-R01,5.90932134223945
2,1,18,1314.72701622533,1387.63114220189,R01,Q3-R01,K2-G1-R01,9.50951988232356
2,1,18,1387.63114220189,1567.63114220189,R01,Q3-R01,K2-G1-R01,10.4128605785245
2,1,18,1567.63114220189,1647.94693810033,R01,Q3-R01,K2-G1-R01,9.16086784080879
2,1,18,1647.94693810033,1675.54702248065,R01,Q3-R01,K2-G1-R01,8.6961247197203
2,1,18,1675.54702248065,1773.20666333897,R01,Q3-R01,K2-G1-R01,1.6353118105072
2,1,18,1773.20666333897,1793.60502352308,G01,,G01,0.00571155585001293
2,1,18,1793.60502352308,1814.00338370719,G01,,G01,0.556672883545801
2,1,18,1814.00338370719,1854.8001040754,G01,,G01,1.11293464372679
2,1,18,1854.8001040754,1936.39354481184,G01,,G01,2.3340265017129
2,1,18,1936.39354481184,2099.5804262847,G01,,G01,4.72839146980334
2,1,18,2099.5804262847,2285.27938136283,G01,,G01,18.6107857926076
2,1,19,1310.89950207717,1401.39344332066,G01,,G01,23.2709600060778
2,1,19,1401.39344332066,1675.54702248065,G01,,G01,0.97016076366458
2,1,19,1675.54702248065,1773.20666333897,R01,Q3-R01,K2-G1-R01,5.34774121829409
2,1,19,1773.20666333897,1805.49697475642,R02,Q3-R02,K2-G1-R02,1.82209757527613
2,1,19,1805.49697475642,1824.4897042486,R02,Q3-R02,K2-G1-R02,2.07255573920411
2,1,19,1824.4897042486,2034.4897042486,R02,Q3-R02,K2-G1-R02,2.11413823748617
2,1,19,2034.4897042486,2041.3560311529,R02,Q3-R02,K2-G1-R02,2.09612376061484
2,1,19,2041.3560311529,2308.95112798729,R02,Q3-R02,K2-G1-R02,1.85638895074911
2,1,19,2308.95112798729,2365.87072027245,R02,Q3-R02,K2-G1-R02,0.108761706713324
2,1,19,2365.87072027245,2545.87072027245,R02,Q3-R02,K2-G1-R02,0.411920705489166
2,1,19,2545.87072027245,2566.94702439029,R02,Q3-R02,K2-G1-R02,0.278894208390525
2,1,19,2566.94702439029,2804.66139781849,R02,Q3-R02,K2-G1-R02,3.64602600550684
2,1,19,2804.66139781849,3042.37577124668,G01,,G01,2.50714068208693
2,1,19,3042.37577124668,3108.58733618809,G01,,G01,27.5682979371973
2,1,20,4604.4689489816,4659.64525309944,G01,,G01,27.5682979371973
2,1,20,4659.64525309944,4852.19663204812,G01,,G01,4.28461253291375
2,1,20,4852.19663204812,4993.63531600199,R01,Q3-R03,K2-G1-R01,1.70007369000021
2,1,20,4993.63531600199,5064.35465797892,R01,Q3-R03,K2-G1-R01,1.02455766714111
2,1,20,5064.35465797892,5135.07399995586,R01,Q3-R03,K2-G1-R01,0.0324440523634877
2,1,20,5135.07399995586,5160.36556489726,R01,Q3-R03,K2-G1-R01,0.107266606759822
2,1,20,5160.36556489726,5370.36556489726,R01,Q3-R03,K2-G1-R01,0.150433572224728
2,1,20,5370.36556489726,5391.4418690151,R01,Q3-R03,K2-G1-R01,0.107266606759822
2,1,20,5391.4418690151,5425.78900509904,R01,Q3-R03,K2-G1-R01,0.0977284579790876
2,1,20,5425.78900509904,5544.66019542507,R01,Q3-R03,K2-G1-R01,0.389778667892941
2,1,20,5544.66019542507,5705.76540564828,G01,,G01,0.133744424954273
2,1,20,5705.76540564828,5866.8706158715,G01,,G01,5.77892887002884
2,1,20,5866.8706158715,5933.0821808129,G01,,G01,27.5682979371973
2,1,22,5071.05923415521,5126.94648594558,G01,,G01,27.4570949900334
2,1,22,5126.94648594558,5360.95267200229,G01,,G01,2.64660268261862
2,1,22,5360.95267200229,5394.25737415072,G01,,G01,2.84274166465613
2,1,22,5394.25737415072,5425.78900509904,G01,,G01,2.97531985376901
2,1,22,5425.78900509904,5544.66019542507,G01,,G01,2.97531985376901
2,1,22,5544.66019542507,5604.25737415072,G01,,G01,2.97531985376901
2,1,22,5604.25737415072,5632.01129260776,G01,,G01,2.84274166465613
2,1,22,5632.01129260776,5866.01747866447,G01,,G01,2.64660268261862
2,1,22,5866.01747866447,5933.0821808129,G01,,G01,27.4570949900334
2,2,4,4392.95432979195,4472.4386852607,G01,,G01,25.981341853713
2,2,4,4472.4386852607,4648.4589164898,G01,,G01,3.16569748822293
2,2,4,4648.4589164898,4824.47914771889,R01,Q3-R03,K2-G2-R01,2.22059211128949
2,2,4,4824.47914771889,4852.19663204812,R01,Q3-R03,K2-G2-R01,3.27938085689138
2,2,4,4852.19663204812,4890.18459205483,R02,Q3-R04,K2-G2-R02,4.84553039002492
2,2,4,4890.18459205483,5250.18459205483,R02,Q3-R04,K2-G2-R02,5.10847053278178
2,2,4,5250.18459205483,5302.74894752358,R02,Q3-R04,K2-G2-R02,4.64620749634376
2,2,4,5302.74894752358,5425.78900509904,R01,Q3-R03,K2-G2-R01,2.68990997062029
2,2,4,5425.78900509904,5544.66019542507,G01,,G01,1.1832578484869
2,2,4,5544.66019542507,5654.78940998177,G01,,G01,7.05703034915548
2,2,4,5654.78940998177,5754.1448543177,G01,,G01,25.981341853713
2,2,8,4361.25074515259,4442.98718924439,G01,,G01,24.1550352714684
2,2,8,4442.98718924439,4647.59191064625,G01,,G01,1.81553921701916
2,2,8,4647.59191064625,4852.19663204812,R01,Q3-R03,K2-G2-R01,2.08673947322393
2,2,8,4852.19663204812,4981.58939673927,R02,Q3-R04,K2-G2-R02,8.82601459632816
2,2,8,4981.58939673927,5001.99126319435,R02,Q3-R04,K2-G2-R02,0.0300575872650768
2,2,8,5001.99126319435,5022.39312964943,R02,Q3-R04,K2-G2-R02,0.0265284606814618
2,2,8,5022.39312964943,5262.39312964943,R02,Q3-R04,K2-G2-R02,0.136042485008304
2,2,8,5262.39312964943,5279.39468502866,R02,Q3-R04,K2-G2-R02,0.0265284606814618
2,2,8,5279.39468502866,5296.39624040789,R02,Q3-R04,K2-G2-R02,0.0300575872650768
2,2,8,5296.39624040789,5425.78900509904,R02,Q3-R04,K2-G2-R02,8.82601459632816
2,2,8,5425.78900509904,5544.66019542507,R01,Q3-R03,K2-G2-R01,2.71276233090138
2,2,8,5544.66019542507,5553.73326581499,G01,,G01,9.15190113445284
2,2,8,5553.73326581499,5562.80633620492,G01,,G01,9.426818559236
2,2,8,5562.80633620492,5580.95247698478,G01,,G01,9.70816969180956
2,2,8,5580.95247698478,5617.24475854449,G01,,G01,0.299484375463948
2,2,8,5617.24475854449,5689.82932166391,G01,,G01,1.61610896864612
2,2,8,5689.82932166391,5834.99844790275,G01,,G01,4.66168115106422
2,2,8,5834.99844790275,5933.08218081291,G01,,G01,24.1550352714684
2,2,13,843.554941922245,938.755273546594,G01,,G01,22.8305808468839
2,2,13,938.755273546594,1185.10499644585,G01,,G01,0.0483666448051139
2,2,13,1185.10499644585,1431.4547193451,R01,Q3-R01,K2-G2-R01,0.121307548117642
2,2,13,1431.4547193451,1484.85511729432,R01,Q3-R01,K2-G2-R01,1.96908425426611
2,2,13,1484.85511729432,1675.54702248065,R01,Q3-R01,K2-G2-R01,2.07975089471441
2,2,13,1675.54702248065,1724.85511729432,R01,Q3-R01,K2-G2-R01,2.07975089471441
2,2,13,1724.85511729432,1769.35544891867,R01,Q3-R01,K2-G2-R01,1.96908425426611
2,2,13,1769.35544891867,1773.20666333897,R01,Q3-R01,K2-G2-R01,2.0736495964224
2,2,13,1773.20666333897,1895.41872118349,R02,Q3-R02,K2-G2-R02,1.43767082538452
2,2,13,1895.41872118349,2017.63077902802,R02,Q3-R02,K2-G2-R02,2.07071362590678
2,2,13,2017.63077902802,2262.05489471706,G01,,G01,0.114050118931274
2,2,13,2262.05489471706,2376.29529266628,G01,,G01,22.8305808468839
